2016-06-13 15:41:13.0751|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("~$Data.xlsx"): Permission denied
error: unable to index file ~$Data.xlsx
fatal: adding files failed
2016-06-13 14:43:12.6572|INFO|thread:44|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 34 at GitClient.cs:224
2016-06-13 14:43:12.6572|INFO|thread:44|DashboardViewModel|Took 292ms to Create RepositoryViewModel for location C:\Users\Ogni\Documents\GitHub\site
2016-06-13 14:43:12.6572|INFO|thread:44|AsyncReaderWriterLock|Released exclusive scheduler for operation: 32 at GitClient.cs:606 after blocking 0.2244383s
2016-06-13 14:43:12.6572|INFO|thread:42|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 34 at GitClient.cs:224 after waiting 0.000531s
2016-06-13 14:43:12.6572|INFO|thread:19|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 33 at GitClient.cs:623 after waiting 0.049111s
2016-06-13 14:43:12.6572|INFO|thread:42|GitClient|Loading commits for repo: C:\Users\Ogni\Documents\GitHub\site
2016-06-13 14:43:12.6572|INFO|thread:19|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 35 at RepositoryViewModel.cs:336
2016-06-13 14:43:12.6572|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 35 at RepositoryViewModel.cs:336 after waiting 2.85E-05s
2016-06-13 14:43:12.6572|INFO|thread:19|AsyncReaderWriterLock|Released concurrent scheduler for operation: 33 at GitClient.cs:623 after blocking 0.0061115s
2016-06-13 14:43:13.0647|INFO|thread:38|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 36 at GitClient.cs:201
2016-06-13 14:43:13.0647|INFO|thread:39|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 36 at GitClient.cs:201 after waiting 4.67E-05s
2016-06-13 14:43:13.0647|INFO|thread:38|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 37 at RepositoryModel.cs:596
2016-06-13 14:43:13.0647|INFO|thread:43|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 37 at RepositoryModel.cs:596 after waiting 0.000252s
2016-06-13 14:43:13.0647|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 38 at RepositoryModel.cs:596
2016-06-13 14:43:13.2568|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 39 at GitClient.cs:611
2016-06-13 14:43:13.4680|INFO|thread:44|AsyncReaderWriterLock|Released concurrent scheduler for operation: 35 at RepositoryViewModel.cs:336 after blocking 0.8040915s
2016-06-13 14:43:13.4680|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 38 at RepositoryModel.cs:596 after waiting 0.4025306s
2016-06-13 14:43:13.4680|INFO|thread:19|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 40 at GitClient.cs:290
2016-06-13 14:43:13.4680|INFO|thread:19|AsyncReaderWriterLock|Released concurrent scheduler for operation: 37 at RepositoryModel.cs:596 after blocking 0.4058615s
2016-06-13 14:43:13.4680|INFO|thread:43|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 39 at GitClient.cs:611 after waiting 0.2143374s
2016-06-13 14:43:13.4830|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 41 at BranchesViewModel.cs:535
2016-06-13 14:43:13.4830|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 42 at RepositoryViewModel.cs:336
2016-06-13 14:43:13.8007|INFO|thread:43|AsyncReaderWriterLock|Released concurrent scheduler for operation: 39 at GitClient.cs:611 after blocking 0.3298434s
2016-06-13 14:43:13.8007|INFO|thread:43|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 40 at GitClient.cs:290 after waiting 0.3301886s
2016-06-13 14:43:13.8007|INFO|thread:41|AsyncReaderWriterLock|Released concurrent scheduler for operation: 38 at RepositoryModel.cs:596 after blocking 0.3377142s
2016-06-13 14:43:13.8007|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 41 at BranchesViewModel.cs:535 after waiting 0.322709s
2016-06-13 14:43:13.8252|INFO|thread:41|AsyncReaderWriterLock|Released concurrent scheduler for operation: 41 at BranchesViewModel.cs:535 after blocking 0.0191382s
2016-06-13 14:43:13.8252|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 42 at RepositoryViewModel.cs:336 after waiting 0.3416393s
2016-06-13 14:43:13.8252|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 36 at GitClient.cs:201 after blocking 0.7675115s
2016-06-13 14:43:13.8252|INFO|thread:43|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:43:13.8252|INFO|thread:43|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
